,GEO_0,GEO_1,GEO_2,workers_tot,drive_alone_pct,carpool_pct,pub_trans_pct,walk_pct,bike_pct,taxi_moto_pct,wfh_pct,mean_travel_time
112,Ohio,Belmont County,Census Tract 106,1855,85.1,3.9,0.0,0.5,0.0,0.7,9.8,26.9
113,Ohio,Belmont County,Census Tract 107,1286,80.6,4.0,0.5,6.5,0.0,0.0,8.5,25.0
114,Ohio,Belmont County,Census Tract 108.02,925,92.5,1.2,0.1,0.0,0.0,0.2,5.9,20.7
115,Ohio,Belmont County,Census Tract 109.01,737,82.1,7.5,0.0,2.3,0.0,3.4,4.7,29.0
116,Ohio,Belmont County,Census Tract 109.02,2092,81.9,13.0,0.0,2.0,0.0,1.5,1.6,27.2
117,Ohio,Belmont County,Census Tract 110,1706,79.5,15.4,0.0,2.1,0.0,0.0,3.0,36.2
118,Ohio,Belmont County,Census Tract 112,1302,81.7,10.4,0.0,2.0,0.0,0.7,5.2,29.2
119,Ohio,Belmont County,Census Tract 113,1669,85.7,6.6,0.0,2.6,0.0,0.0,5.0,19.7
120,Ohio,Belmont County,Census Tract 114,1803,93.8,0.0,0.0,0.0,0.0,0.0,6.2,21.2
121,Ohio,Belmont County,Census Tract 115,498,71.5,23.1,0.0,1.2,0.0,0.0,4.2,24.2
122,Ohio,Belmont County,Census Tract 116,397,73.3,3.8,0.0,3.0,0.0,0.0,19.9,22.9
123,Ohio,Belmont County,Census Tract 117,564,77.3,17.2,0.0,0.0,0.0,1.2,4.3,19.8
124,Ohio,Belmont County,Census Tract 119,1261,87.7,5.5,0.0,1.0,0.0,0.0,5.9,14.7
125,Ohio,Belmont County,Census Tract 120,931,80.8,3.9,0.0,2.8,0.0,0.0,12.6,30.3
126,Ohio,Belmont County,Census Tract 121,440,84.8,7.0,0.0,4.1,0.0,0.0,4.1,23.0
127,Ohio,Belmont County,Census Tract 122.01,780,92.9,3.2,1.7,0.0,0.0,0.0,2.2,26.8
128,Ohio,Belmont County,Census Tract 122.02,781,84.6,5.6,0.0,3.6,0.0,0.0,6.1,23.7
129,Ohio,Belmont County,Census Tract 123,2134,81.1,7.3,0.0,3.7,0.0,0.9,6.9,21.7
130,Ohio,Belmont County,Census Tract 124,1772,84.1,0.5,0.0,0.7,0.0,0.9,13.8,19.7
131,Ohio,Brown County,Census Tract 9512.01,2319,81.8,7.8,0.0,0.1,0.0,2.4,8.0,37.0
132,Ohio,Brown County,Census Tract 9512.02,2482,80.3,13.3,0.0,0.4,0.0,1.0,5.0,28.6
133,Ohio,Brown County,Census Tract 9513.01,2382,89.2,6.4,0.0,0.0,0.0,0.0,4.4,32.9
134,Ohio,Brown County,Census Tract 9513.02,909,79.3,8.6,0.0,0.0,0.0,0.0,12.1,29.9
135,Ohio,Brown County,Census Tract 9514,1749,82.2,10.2,0.0,0.6,0.0,0.7,6.2,38.3
136,Ohio,Brown County,Census Tract 9515,2165,85.5,7.6,1.2,0.6,0.6,1.3,3.2,33.3
137,Ohio,Brown County,Census Tract 9516,1365,85.0,12.5,0.0,0.2,0.0,0.0,2.3,32.6
138,Ohio,Brown County,Census Tract 9517,933,79.4,10.0,5.0,1.3,0.0,0.0,4.3,33.1
139,Ohio,Brown County,Census Tract 9518,1824,74.5,15.7,1.1,0.7,0.0,0.0,8.1,35.7
140,Ohio,Brown County,Census Tract 9519,2510,78.1,9.0,0.0,0.0,0.0,1.4,11.4,36.0
141,Ohio,Butler County,Census Tract 1,1998,78.7,10.9,0.0,2.7,0.0,3.0,4.7,27.2
142,Ohio,Butler County,Census Tract 2,1802,87.7,7.7,0.0,1.9,0.6,0.0,2.1,20.6
143,Ohio,Butler County,Census Tract 3,1384,63.3,28.4,0.0,3.0,0.0,2.6,2.7,19.2
144,Ohio,Butler County,Census Tract 4,1160,68.9,29.2,0.0,1.9,0.0,0.0,0.0,23.1
145,Ohio,Butler County,Census Tract 5,2020,80.3,7.8,1.5,4.5,0.0,2.7,3.3,16.4
146,Ohio,Butler County,Census Tract 6,1958,65.7,16.7,2.8,3.2,0.0,0.5,11.2,19.9
