,GEO_0,GEO_1,GEO_2,GEO_3,median_HH_income,per_capita_income,gini_index,pop_FPL_total,pop_FPL_LT50,pop_FPL_50_99,below_poverty_pct
95,Illinois,Champaign County,Census Tract 102.04,,55183.0,35724.0,0.4667,4381,390,318,0.1616
96,Illinois,Champaign County,Census Tract 103,,41909.0,18394.0,0.3633,3761,336,743,0.2869
97,Illinois,Champaign County,Census Tract 104,,81587.0,40639.0,0.398,4162,182,169,0.0843
98,Illinois,Champaign County,Census Tract 105,,106458.0,49726.0,0.3939,4191,33,54,0.0208
99,Illinois,Champaign County,Census Tract 106.01,,126918.0,55593.0,0.4262,6154,18,162,0.0292
100,Illinois,Champaign County,Census Tract 106.03,,100694.0,44396.0,0.4328,8106,200,95,0.0364
101,Illinois,Champaign County,Census Tract 106.04,,117500.0,52696.0,0.346,2536,138,159,0.1171
102,Illinois,Champaign County,Census Tract 107.01,,116638.0,51455.0,0.3658,3810,145,11,0.0409
103,Illinois,Champaign County,Census Tract 107.02,,109906.0,45848.0,0.3784,3935,192,56,0.063
104,Illinois,Champaign County,Census Tract 108,,92500.0,48514.0,0.4352,3962,204,85,0.0729
105,Illinois,Champaign County,Census Tract 109.01,,101154.0,48672.0,0.4238,6532,285,185,0.072
106,Illinois,Champaign County,Census Tract 109.02,,78967.0,37206.0,0.3641,4001,101,51,0.038
107,Illinois,Champaign County,Census Tract 110.01,,51818.0,53409.0,0.5456,2089,132,177,0.1479
108,Illinois,Champaign County,Census Tract 110.02,,63750.0,41594.0,0.427,2343,462,154,0.2629
109,Illinois,Champaign County,Census Tract 111,,29544.0,26742.0,0.5685,1999,694,174,0.4342
110,Illinois,Christian County,Census Tract 9581,,81000.0,50175.0,0.4388,2640,131,163,0.1114
111,Illinois,Christian County,Census Tract 9582,,68214.0,44080.0,0.4814,3266,222,169,0.1197
112,Illinois,Christian County,Census Tract 9583,,60391.0,33568.0,0.503,3958,465,174,0.1614
113,Illinois,Christian County,Census Tract 9584,,58769.0,31331.0,0.3891,3785,211,136,0.0917
114,Illinois,Christian County,Census Tract 9585,,39940.0,25486.0,0.4068,2081,50,157,0.0995
115,Illinois,Christian County,Census Tract 9586,,73617.0,34264.0,0.4003,2223,126,45,0.0769
116,Illinois,Christian County,Census Tract 9587,,62332.0,28642.0,0.4101,4006,106,201,0.0766
117,Illinois,Christian County,Census Tract 9588,,53023.0,35180.0,0.4873,2408,75,131,0.0855
118,Illinois,Christian County,Census Tract 9589,,40223.0,23971.0,0.4322,2517,222,206,0.17
119,Illinois,Christian County,Census Tract 9590,,83852.0,41074.0,0.3502,4884,130,117,0.0506
120,Illinois,Clark County,Census Tract 601,,84007.0,41309.0,0.4096,4306,128,147,0.0639
121,Illinois,Clark County,Census Tract 602,,74423.0,35826.0,0.3706,4030,59,234,0.0727
122,Illinois,Clark County,Census Tract 603,,59808.0,36325.0,0.4605,4823,170,402,0.1186
123,Illinois,Clark County,Census Tract 604,,75132.0,35776.0,0.3529,1773,119,107,0.1275
124,Illinois,Clay County,Census Tract 9719,,75231.0,36469.0,0.3818,2244,187,24,0.094
125,Illinois,Clay County,Census Tract 9720,,54417.0,27530.0,0.4274,2958,402,366,0.2596
126,Illinois,Clay County,Census Tract 9721,,45391.0,26606.0,0.4131,4664,410,481,0.191
127,Illinois,Clay County,Census Tract 9722,,75029.0,41827.0,0.5148,2954,158,217,0.1269
128,Illinois,Clinton County,Census Tract 9001,,103504.0,44134.0,0.3622,6540,125,306,0.0659
129,Illinois,Clinton County,Census Tract 9002,,111607.0,40756.0,0.3064,1940,19,47,0.034
130,Illinois,Clinton County,Census Tract 9003,,85533.0,54676.0,0.5066,6795,169,109,0.0409
131,Illinois,Clinton County,Census Tract 9004.01,,83315.0,41000.0,0.3416,1196,7,27,0.0284
132,Illinois,Clinton County,Census Tract 9004.03,,79625.0,47115.0,0.4462,3417,52,201,0.074
133,Illinois,Clinton County,Census Tract 9004.04,,56838.0,34945.0,0.3939,1215,62,99,0.1325
134,Illinois,Clinton County,Census Tract 9005,,58971.0,25743.0,0.4779,4088,299,450,0.1832
135,Illinois,Clinton County,Census Tract 9006.01,,87150.0,43174.0,0.3844,2969,65,68,0.0448
136,Illinois,Clinton County,Census Tract 9006.02,,92056.0,42889.0,0.3824,6722,369,96,0.0692
137,Illinois,Coles County,Census Tract 1,,63354.0,39409.0,0.4557,2359,117,159,0.117
138,Illinois,Coles County,Census Tract 2,,81660.0,36728.0,0.3628,5419,73,283,0.0657
139,Illinois,Coles County,Census Tract 3,,69679.0,44080.0,0.4743,3912,343,375,0.1835
140,Illinois,Coles County,Census Tract 4,,35417.0,25559.0,0.3841,2642,167,441,0.2301
141,Illinois,Coles County,Census Tract 5,,41176.0,26376.0,0.4667,5216,569,528,0.2103
142,Illinois,Coles County,Census Tract 6,,84323.0,43101.0,0.3735,3287,75,210,0.0867
143,Illinois,Coles County,Census Tract 7.01,,69545.0,50778.0,0.4526,2306,178,142,0.1388
144,Illinois,Coles County,Census Tract 7.02,,33974.0,24684.0,0.4276,2995,567,833,0.4674
145,Illinois,Coles County,Census Tract 8,,47994.0,16900.0,0.4611,1285,333,132,0.3619
146,Illinois,Coles County,Census Tract 9,,87708.0,49651.0,0.4308,3845,123,303,0.1108
147,Illinois,Coles County,Census Tract 10,,51597.0,32331.0,0.4138,3480,163,303,0.1339
148,Illinois,Coles County,Census Tract 11,,51558.0,26697.0,0.4017,3410,405,619,0.3003
149,Illinois,Coles County,Census Tract 12,,54818.0,30940.0,0.4377,2925,346,269,0.2103
150,Illinois,Cook County,Census Tract 101,,74145.0,45573.0,0.3998,4097,291,254,0.133
151,Illinois,Cook County,Census Tract 102.01,,63056.0,31992.0,0.4234,7352,783,1033,0.247
152,Illinois,Cook County,Census Tract 102.02,,53220.0,42710.0,0.5031,2194,110,461,0.2603
153,Illinois,Cook County,Census Tract 103,,73105.0,43852.0,0.4177,5516,268,473,0.1343
154,Illinois,Cook County,Census Tract 104,,54083.0,36728.0,0.4584,3108,254,87,0.1097
155,Illinois,Cook County,Census Tract 105.01,,48833.0,45408.0,0.4628,3718,418,178,0.1603
156,Illinois,Cook County,Census Tract 105.02,,63125.0,41263.0,0.4615,3095,358,208,0.1829
157,Illinois,Cook County,Census Tract 105.03,,32443.0,28555.0,0.5619,2757,630,521,0.4175
158,Illinois,Cook County,Census Tract 106,,72500.0,43955.0,0.4087,6295,470,558,0.1633
159,Illinois,Cook County,Census Tract 107.01,,74813.0,57217.0,0.5465,3478,147,212,0.1032
160,Illinois,Cook County,Census Tract 107.02,,61724.0,32790.0,0.3425,4732,246,436,0.1441
161,Illinois,Cook County,Census Tract 201,,64904.0,34005.0,0.4288,4159,126,632,0.1823
162,Illinois,Cook County,Census Tract 202,,120625.0,45854.0,0.4505,7565,207,171,0.05
163,Illinois,Cook County,Census Tract 203.01,,78385.0,48617.0,0.5652,4968,271,452,0.1455
164,Illinois,Cook County,Census Tract 203.02,,71250.0,47333.0,0.5528,4722,251,357,0.1288
165,Illinois,Cook County,Census Tract 204,,73790.0,44687.0,0.5093,4349,319,287,0.1393
166,Illinois,Cook County,Census Tract 205,,37819.0,24127.0,0.5167,6359,1446,1436,0.4532
167,Illinois,Cook County,Census Tract 206.01,,64127.0,29833.0,0.4773,6267,1023,1019,0.3258
168,Illinois,Cook County,Census Tract 206.02,,89663.0,38748.0,0.4412,4788,344,596,0.1963
169,Illinois,Cook County,Census Tract 207.01,,108568.0,60896.0,0.4986,1768,4,143,0.0831
170,Illinois,Cook County,Census Tract 207.02,,63906.0,27761.0,0.4071,7859,378,851,0.1564
171,Illinois,Cook County,Census Tract 208.01,,74931.0,37778.0,0.421,5332,300,137,0.082
172,Illinois,Cook County,Census Tract 208.02,,68725.0,22497.0,0.4196,8942,295,1761,0.2299
173,Illinois,Cook County,Census Tract 209.01,,56291.0,28005.0,0.4621,6256,478,696,0.1877
174,Illinois,Cook County,Census Tract 209.02,,45547.0,26315.0,0.5101,3599,468,396,0.2401
175,Illinois,Cook County,Census Tract 301.01,,48929.0,41209.0,0.4301,3515,347,224,0.1624
176,Illinois,Cook County,Census Tract 301.02,,59826.0,47653.0,0.4935,3366,366,469,0.2481
177,Illinois,Cook County,Census Tract 301.03,,49545.0,46363.0,0.475,1467,204,169,0.2543
178,Illinois,Cook County,Census Tract 301.04,,41823.0,21169.0,0.4994,1839,318,149,0.2539
179,Illinois,Cook County,Census Tract 302,,108466.0,72224.0,0.4917,5786,658,207,0.1495
180,Illinois,Cook County,Census Tract 303,,68933.0,52157.0,0.5128,2956,35,428,0.1566
181,Illinois,Cook County,Census Tract 304,,98909.0,69586.0,0.4672,2716,132,266,0.1465
182,Illinois,Cook County,Census Tract 305,,127055.0,70375.0,0.3532,6384,225,160,0.0603
183,Illinois,Cook County,Census Tract 306.01,,52917.0,35693.0,0.463,3698,211,478,0.1863
184,Illinois,Cook County,Census Tract 306.03,,49674.0,47670.0,0.4801,1972,251,264,0.2612
185,Illinois,Cook County,Census Tract 306.04,,51688.0,49365.0,0.4827,3109,465,200,0.2139
186,Illinois,Cook County,Census Tract 307.01,,44948.0,39124.0,0.4884,1341,168,197,0.2722
