,GEO_0,GEO_1,GEO_2,GEO_3,pop_total,white,black,indian,asian,pacific,other,multi,latino,white_pct,black_pct,indian_pct,asian_pct,pacific_pct,other_pct,multi_pct,latino_pct
2854,Kentucky,Fayette County,Census Tract 39.08,Block Group 2,607,412,101,1,45,0,1,24,23,0.6787479406919276,0.16639209225700163,0.0016474464579901153,0.07413509060955518,0.0,0.0016474464579901153,0.039538714991762765,0.03789126853377265
2855,Kentucky,Fayette County,Census Tract 39.08,Block Group 3,1771,1277,164,1,147,0,19,75,88,0.7210615471485037,0.09260304912478826,0.000564652738565782,0.08300395256916997,0.0,0.010728402032749858,0.042348955392433656,0.049689440993788817
2856,Kentucky,Fayette County,Census Tract 39.08,Block Group 4,1654,1212,138,0,169,0,8,74,53,0.7327690447400241,0.08343409915356712,0.0,0.10217654171704958,0.0,0.0048367593712212815,0.044740024183796856,0.03204353083434099
2857,Kentucky,Fayette County,Census Tract 39.09,Block Group 1,2384,1237,545,2,56,0,18,144,382,0.5188758389261745,0.22860738255033558,0.0008389261744966443,0.02348993288590604,0.0,0.007550335570469799,0.06040268456375839,0.16023489932885907
2858,Kentucky,Fayette County,Census Tract 39.09,Block Group 2,823,498,176,0,34,1,4,53,57,0.6051032806804374,0.21385176184690158,0.0,0.041312272174969626,0.001215066828675577,0.004860267314702308,0.06439854191980558,0.0692588092345079
2859,Kentucky,Fayette County,Census Tract 39.10,Block Group 1,2863,939,1103,2,78,1,8,157,575,0.3279776458260566,0.3852602165560601,0.0006985679357317499,0.027244149493538247,0.00034928396786587494,0.0027942717429269995,0.05483758295494237,0.2008382815228781
2860,Kentucky,Fayette County,Census Tract 39.11,Block Group 1,1533,531,479,0,28,0,10,89,396,0.34637964774951074,0.31245923026744943,0.0,0.0182648401826484,0.0,0.006523157208088715,0.05805609915198956,0.2583170254403131
2861,Kentucky,Fayette County,Census Tract 39.11,Block Group 2,1514,935,262,0,63,0,4,80,170,0.6175693527080581,0.17305151915455746,0.0,0.0416116248348745,0.0,0.002642007926023778,0.052840158520475564,0.11228533685601057
2862,Kentucky,Fayette County,Census Tract 39.11,Block Group 3,768,283,315,0,20,0,7,87,56,0.3684895833333333,0.41015625,0.0,0.026041666666666668,0.0,0.009114583333333334,0.11328125,0.07291666666666667
2863,Kentucky,Fayette County,Census Tract 39.12,Block Group 1,1895,1398,163,2,119,0,7,105,101,0.7377308707124011,0.08601583113456464,0.0010554089709762533,0.06279683377308708,0.0,0.0036939313984168864,0.055408970976253295,0.05329815303430079
2864,Kentucky,Fayette County,Census Tract 39.12,Block Group 2,771,531,86,0,82,0,2,32,38,0.688715953307393,0.11154345006485085,0.0,0.10635538261997406,0.0,0.0025940337224383916,0.041504539559014265,0.04928664072632944
2865,Kentucky,Fayette County,Census Tract 39.12,Block Group 3,1686,949,518,0,80,0,9,64,66,0.5628706998813761,0.30723606168446027,0.0,0.04744958481613286,0.0,0.005338078291814947,0.03795966785290629,0.03914590747330961
2866,Kentucky,Fayette County,Census Tract 39.13,Block Group 1,2089,1778,87,0,89,0,3,76,56,0.8511249401627573,0.04164672091910005,0.0,0.04260411680229775,0.0,0.0014360938247965534,0.036381043561512685,0.026807084729535663
