,GEO_0,GEO_1,GEO_2,hu_tot,hu_occ,hu_vacant,1u_detached,1u_attached,2u,3_4u,5_9u,10_19u,20_plusu,mobile_home,boat_rv_van,owner_occ,renter_occ,owner_median_value,renter_median_rent,hu_0_veh,hu_1_veh,hu_2_veh,hu_3plus_veh,0_veh_pct,1_veh_pct,2_veh_pct,3plus_veh_pct
43,Kentucky,Green County,,5289,4421,868,4024,20,40,35,71,83,17,987,12,3431,990,125000.0,610.0,154,1219,1382,1666,0.03483374802080977,0.2757294729699163,0.31259895951142275,0.37683781949785117
44,Kentucky,Greenup County,,16271,14739,1532,13150,123,158,268,344,107,158,1963,0,11837,2902,134000.0,860.0,682,4543,5661,3853,0.046271795915598074,0.3082298663410001,0.38408304498269896,0.2614152927607029
45,Kentucky,Hancock County,,3928,3638,290,2706,29,79,24,200,17,12,847,14,2807,831,141200.0,740.0,159,911,1236,1332,0.043705332600329855,0.25041231445849366,0.3397471137987905,0.36613523914238594
46,Kentucky,Hardin County,,48108,44622,3486,31696,2505,1359,3082,2681,1723,1031,4007,24,27921,16701,225800.0,971.0,2933,15200,15545,10944,0.0657299090134911,0.34063914660929584,0.34837075881852003,0.24526018555869303
47,Kentucky,Harlan County,,13036,10731,2305,8792,193,230,404,529,190,156,2518,24,7680,3051,73700.0,678.0,868,3415,3924,2524,0.08088714938030006,0.31823688379461373,0.3656695554934303,0.23520641133165596
48,Kentucky,Harrison County,,8186,7293,893,5953,115,421,141,312,100,54,1090,0,5209,2084,202100.0,765.0,691,1814,2222,2566,0.09474838886603593,0.24873166049636639,0.3046757164404223,0.35184423419717537
49,Kentucky,Hart County,,8929,7376,1553,6496,63,199,199,173,42,105,1622,30,5343,2033,146000.0,693.0,645,2164,2582,1985,0.08744577006507592,0.2933839479392625,0.3500542299349241,0.2691160520607375
50,Kentucky,Henderson County,,20151,18522,1629,13554,358,890,1031,1126,477,859,1856,0,12015,6507,171900.0,777.0,1296,6156,7160,3910,0.06997084548104957,0.3323615160349854,0.38656732534283555,0.21110031314112948
51,Kentucky,Henry County,,6705,6147,558,5441,66,78,156,126,13,133,681,11,4688,1459,197900.0,895.0,360,1757,1872,2158,0.05856515373352855,0.28583048641613795,0.30453879941434847,0.351065560435985
52,Kentucky,Hickman County,,2156,1731,425,1740,0,16,13,36,0,6,345,0,1226,505,115700.0,718.0,101,407,738,485,0.05834777585210861,0.23512420566146736,0.42634315424610053,0.2801848642403235
53,Kentucky,Hopkins County,,21001,18397,2604,15903,162,667,755,652,283,87,2434,58,13009,5388,142800.0,837.0,1308,5642,6615,4832,0.07109854867641463,0.30668043702777625,0.359569495026363,0.26265151926944613
54,Kentucky,Jackson County,,6006,5122,884,3997,0,73,35,139,65,59,1558,80,3964,1158,111500.0,665.0,463,1378,1859,1422,0.09039437719640765,0.26903553299492383,0.3629441624365482,0.2776259273721203
55,Kentucky,Jefferson County,,359710,331554,28156,230266,14611,8377,26308,25581,20694,29332,4420,121,205981,125573,248400.0,1149.0,29010,126498,121954,54092,0.08749705930255705,0.38153061039830616,0.3678254522641862,0.16314687803495057
56,Kentucky,Jessamine County,,21198,19913,1285,15506,1705,953,950,532,313,424,789,26,13291,6622,268100.0,1124.0,802,6226,8337,4548,0.04027519710741727,0.31266007131019935,0.4186712198061568,0.22839351177622658
57,Kentucky,Johnson County,,10583,9040,1543,6237,59,62,383,509,164,256,2899,14,6173,2867,120200.0,708.0,473,2865,4011,1691,0.05232300884955752,0.31692477876106195,0.44369469026548675,0.18705752212389382
58,Kentucky,Kenton County,,73221,67367,5854,49704,3170,3243,3108,3779,5485,3298,1359,75,47658,19709,244400.0,1069.0,4589,21561,26803,14414,0.0681194056437128,0.3200528448646964,0.3978654237237817,0.21396232576780916
59,Kentucky,Knott County,,6680,5521,1159,4364,44,18,6,58,114,16,2060,0,4016,1505,77000.0,756.0,493,1927,1975,1126,0.08929541749683029,0.34903097264988225,0.35772504980981706,0.2039485600434704
60,Kentucky,Knox County,,13866,11711,2155,7840,17,322,281,627,171,151,4441,16,7650,4061,118700.0,681.0,1456,4393,3137,2725,0.12432755528989839,0.37511741098112883,0.26786781658270004,0.23268721714627275
61,Kentucky,Larue County,,6573,5996,577,5419,56,72,12,65,59,0,890,0,4760,1236,183500.0,860.0,197,1533,2093,2173,0.0328552368245497,0.2556704469646431,0.34906604402935293,0.3624082721814543
62,Kentucky,Laurel County,,26818,23996,2822,16377,197,760,1039,909,360,201,6861,114,17185,6811,159500.0,813.0,1311,7233,8940,6512,0.05463410568428071,0.30142523753958994,0.3725620936822804,0.271378563093849
