,GEO_0,GEO_1,GEO_2,GEO_3,work_pop,labor,civilian,employed,unemployed,armed_forces,not_labor,unemp_rate,labor_pct,civilian_pct,employed_pct,unemployed_pct,armed_forces_pct,not_labor_pct
3392,Kentucky,Union County,Census Tract 9503,Block Group 1,1080,600,600,551,49,0,480,0.08166666666666667,0.5555555555555556,0.5555555555555556,0.5101851851851852,0.04537037037037037,0.0,0.4444444444444444
3393,Kentucky,Union County,Census Tract 9503,Block Group 2,567,374,374,374,0,0,193,0.0,0.6596119929453262,0.6596119929453262,0.6596119929453262,0.0,0.0,0.3403880070546737
3394,Kentucky,Union County,Census Tract 9503,Block Group 3,747,370,370,355,15,0,377,0.04054054054054054,0.49531459170013387,0.49531459170013387,0.47523427041499333,0.020080321285140562,0.0,0.5046854082998661
3395,Kentucky,Union County,Census Tract 9503,Block Group 4,662,405,405,390,15,0,257,0.037037037037037035,0.6117824773413897,0.6117824773413897,0.5891238670694864,0.022658610271903322,0.0,0.38821752265861026
3396,Kentucky,Union County,Census Tract 9503,Block Group 5,668,321,321,321,0,0,347,0.0,0.4805389221556886,0.4805389221556886,0.4805389221556886,0.0,0.0,0.5194610778443114
3397,Kentucky,Warren County,Census Tract 101,Block Group 1,1512,630,630,626,4,0,882,0.006349206349206349,0.4166666666666667,0.4166666666666667,0.414021164021164,0.0026455026455026454,0.0,0.5833333333333334
3398,Kentucky,Warren County,Census Tract 101,Block Group 2,1292,814,814,794,20,0,478,0.02457002457002457,0.6300309597523219,0.6300309597523219,0.6145510835913313,0.015479876160990712,0.0,0.369969040247678
3399,Kentucky,Warren County,Census Tract 102,Block Group 1,1156,668,668,668,0,0,488,0.0,0.5778546712802768,0.5778546712802768,0.5778546712802768,0.0,0.0,0.42214532871972316
3400,Kentucky,Warren County,Census Tract 102,Block Group 2,466,217,217,217,0,0,249,0.0,0.4656652360515021,0.4656652360515021,0.4656652360515021,0.0,0.0,0.5343347639484979
3401,Kentucky,Warren County,Census Tract 102,Block Group 3,742,322,322,309,13,0,420,0.040372670807453416,0.4339622641509434,0.4339622641509434,0.4164420485175202,0.01752021563342318,0.0,0.5660377358490566
3402,Kentucky,Warren County,Census Tract 102,Block Group 4,348,234,234,234,0,0,114,0.0,0.6724137931034483,0.6724137931034483,0.6724137931034483,0.0,0.0,0.3275862068965517
